user_id,item_id,rating
1,44,1
1,41,4
1,47,3
1,13,2
1,25,3
1,32,1
1,18,5
1,33,2
1,4,4
1,31,3
1,14,3
2,19,1
2,46,3
2,38,3
2,6,4
2,43,4
2,50,4
2,17,3
2,2,2
2,22,4
2,5,4
2,41,3
2,33,4
2,35,3
2,45,3
3,43,3
3,14,5
3,24,5
3,40,2
3,18,3
3,44,3
3,31,2
3,16,1
3,19,4
3,5,3
3,17,1
3,33,2
3,8,5
3,50,2
3,27,2
3,3,3
3,9,5
3,38,2
3,41,4
4,14,3
4,15,3
4,49,4
4,21,4
4,47,4
4,30,4
4,39,4
4,13,1
4,2,2
4,27,4
4,4,4
4,41,1
4,50,2
4,12,4
4,23,1
5,11,3
5,37,1
5,9,5
5,39,3
5,47,5
5,25,5
5,40,4
5,50,2
5,10,3
5,48,4
5,32,3
5,43,2
5,45,3
5,24,5
5,34,4
5,5,3
5,29,1
5,15,4
6,41,4
6,22,2
6,3,3
6,18,4
6,37,2
6,47,2
6,31,5
6,30,4
6,48,1
6,28,3
7,11,3
7,33,4
7,45,3
7,18,4
7,46,4
7,6,2
7,8,1
8,46,3
8,26,3
8,6,4
8,30,2
8,16,2
8,36,3
8,31,4
8,15,3
8,45,2
8,44,4
8,25,4
9,8,4
9,11,3
9,6,2
9,32,3
9,38,4
9,1,2
9,45,3
10,40,1
10,2,2
10,33,2
10,24,2
10,47,5
10,23,4
10,41,3
10,42,4
10,11,5
10,14,5
11,4,3
11,21,1
11,39,1
11,49,2
11,35,1
11,23,1
11,30,4
11,43,3
11,11,4
11,34,5
11,50,3
11,25,4
12,29,3
12,42,3
12,35,5
12,20,2
12,47,3
12,23,4
12,24,4
12,45,3
12,50,4
12,43,4
12,49,1
12,36,1
12,39,4
12,6,3
13,13,2
13,39,4
13,41,4
13,24,2
13,35,2
13,20,3
13,42,3
13,7,4
13,49,3
13,17,3
13,15,4
13,34,1
13,2,2
13,14,4
13,46,4
13,12,3
13,9,3
13,38,2
14,31,3
14,29,3
14,16,4
14,11,1
14,45,4
14,7,1
14,1,4
14,24,1
14,14,1
14,49,4
14,23,5
14,19,4
14,41,3
14,6,5
15,23,3
15,32,3
15,22,3
15,29,5
15,34,4
15,9,5
15,17,2
15,16,4
15,21,5
15,25,2
15,24,1
15,43,4
15,46,3
15,35,4
15,37,2
15,7,4
15,27,2
15,10,2
15,18,2
16,27,4
16,48,2
16,9,2
16,44,4
16,11,3
16,5,4
16,13,2
16,29,3
16,16,3
17,7,1
17,28,1
17,3,2
17,40,4
17,19,5
17,42,2
17,9,2
17,16,2
17,35,2
17,50,4
17,44,3
17,21,3
17,17,2
17,37,4
17,22,3
17,34,4
17,25,2
18,19,4
18,43,3
18,4,2
18,12,4
18,14,3
18,5,3
18,10,3
18,33,3
18,28,4
18,48,2
18,3,3
18,15,1
18,13,4
19,36,5
19,6,4
19,17,3
19,12,4
19,21,3
19,9,1
19,18,4
19,30,3
19,43,4
19,49,3
19,13,4
19,39,2
19,31,5
19,50,4
20,13,5
20,3,2
20,37,1
20,34,4
20,15,1
21,13,1
21,4,5
21,23,4
21,43,4
21,30,4
21,15,4
21,28,4
21,42,5
21,25,5
21,32,4
21,14,4
21,31,1
21,6,4
21,37,1
21,16,3
22,34,2
22,40,3
22,47,5
22,36,1
22,19,1
23,45,2
23,33,4
23,28,2
23,23,1
23,37,3
23,50,1
23,27,5
23,26,4
23,24,4
23,2,4
23,22,2
23,13,3
23,8,3
23,7,3
23,6,2
23,41,3
23,11,3
24,42,3
24,17,4
24,36,3
24,33,2
24,7,4
25,48,3
25,37,2
25,20,4
25,49,4
25,50,2
25,19,4
25,22,5
26,43,1
26,5,4
26,47,5
26,46,4
26,8,5
27,10,3
27,22,5
27,2,2
27,47,3
27,50,4
27,11,3
27,33,5
28,23,3
28,42,4
